timestamp_utc,latitude,longitude,heart_rate,finish_time_utc,elapsed_race_time_s,finished_flag,seg_dist_m,dist_from_start_m,SOG_raw_mpm,COG_raw_deg
2026-03-26T09:36:47+00:00,39.526207353919744,2.6898054499179125,127,2026-03-26T09:36:47.766371+00:00,1,1,0.0,0.0,0.0,0.0
2026-03-26T09:36:48+00:00,39.526232834905386,2.6898148376494646,127,2026-03-26T09:36:47.766371+00:00,1,1,2.946,2.946,176.76,15.864
2026-03-26T09:36:49+00:00,39.52625781297684,2.6898296736180782,128,2026-03-26T09:36:47.766371+00:00,1,1,3.055,6.001,183.3,24.614
2026-03-26T09:36:50+00:00,39.52628153376281,2.6898411568254232,128,2026-03-26T09:36:47.766371+00:00,1,1,2.816,8.816,168.96,20.476
2026-03-26T09:36:51+00:00,39.52630399726331,2.68985565751791,128,2026-03-26T09:36:47.766371+00:00,1,1,2.79,11.606,167.4,26.469
2026-03-26T09:36:52+00:00,39.52632453292608,2.6898657996207476,128,2026-03-26T09:36:47.766371+00:00,1,1,2.444,14.05,146.64,20.854
2026-03-26T09:36:53+00:00,39.52634498476982,2.6898749358952045,130,2026-03-26T09:36:47.766371+00:00,1,1,2.405,16.455,144.3,19.012
2026-03-26T09:36:54+00:00,39.526365268975496,2.689882731065154,130,2026-03-26T09:36:47.766371+00:00,1,1,2.353,18.808,141.18,16.511
2026-03-26T09:36:55+00:00,39.52638613991439,2.689888933673501,130,2026-03-26T09:36:47.766371+00:00,1,1,2.381,21.189,142.86,12.911
2026-03-26T09:36:56+00:00,39.52640801668167,2.6898956391960382,128,2026-03-26T09:36:47.766371+00:00,1,1,2.5,23.688,150.0,13.302
2026-03-26T09:36:57+00:00,39.526432156562805,2.6899020932614803,126,2026-03-26T09:36:47.766371+00:00,1,1,2.741,26.429,164.46,11.652
2026-03-26T09:36:58+00:00,39.52645822428167,2.689909804612398,127,2026-03-26T09:36:47.766371+00:00,1,1,2.973,29.402,178.38,12.853
2026-03-26T09:36:59+00:00,39.52648160979152,2.6899164263159037,129,2026-03-26T09:36:47.766371+00:00,1,1,2.662,32.064,159.72,12.32
2026-03-26T09:37:00+00:00,39.52650424093008,2.689926065504551,130,2026-03-26T09:36:47.766371+00:00,1,1,2.649,34.713,158.94,18.187
2026-03-26T09:37:01+00:00,39.52652720734477,2.689937800168991,129,2026-03-26T09:36:47.766371+00:00,1,1,2.745,37.458,164.7,21.51
2026-03-26T09:37:02+00:00,39.526549922302365,2.68994702026248,128,2026-03-26T09:36:47.766371+00:00,1,1,2.647,40.104,158.82,17.385
2026-03-26T09:37:03+00:00,39.526572888717055,2.6899555698037148,126,2026-03-26T09:36:47.766371+00:00,1,1,2.657,42.761,159.42,16.021
2026-03-26T09:37:04+00:00,39.526595352217555,2.6899641193449497,127,2026-03-26T09:36:47.766371+00:00,1,1,2.603,45.364,156.18,16.36
2026-03-26T09:37:05+00:00,39.52661798335612,2.6899730041623116,127,2026-03-26T09:36:47.766371+00:00,1,1,2.629,47.994,157.74,16.847
2026-03-26T09:37:06+00:00,39.5266396086663,2.6899806316941977,128,2026-03-26T09:36:47.766371+00:00,1,1,2.492,50.486,149.52,15.219
