timestamp_utc,latitude,longitude,heart_rate,finish_time_utc,elapsed_race_time_s,finished_flag,seg_dist_m,dist_from_start_m,SOG_raw_mpm,COG_raw_deg
2026-03-27T12:56:52+00:00,39.514919528737664,2.7107646502554417,120,2026-03-27T12:57:05.169408+00:00,13,1,0.0,0.0,0.0,0.0
2026-03-27T12:56:53+00:00,39.51492162421346,2.7107600402086973,120,2026-03-27T12:57:05.169408+00:00,13,1,0.459,0.459,27.54,300.507
2026-03-27T12:56:54+00:00,39.51492330059409,2.7107549272477627,120,2026-03-27T12:57:05.169408+00:00,13,1,0.477,0.936,28.62,293.025
2026-03-27T12:56:55+00:00,39.51492556370795,2.710750652477145,122,2026-03-27T12:57:05.169408+00:00,13,1,0.445,1.38,26.7,304.46
2026-03-27T12:56:56+00:00,39.514928413555026,2.7107467968016863,123,2026-03-27T12:57:05.169408+00:00,13,1,0.458,1.838,27.48,313.774
2026-03-27T12:56:57+00:00,39.51493042521179,2.7107416838407516,125,2026-03-27T12:57:05.169408+00:00,13,1,0.492,2.331,29.52,297.022
2026-03-27T12:56:58+00:00,39.51493218541145,2.710735062137246,126,2026-03-27T12:57:05.169408+00:00,13,1,0.601,2.932,36.06,289.012
2026-03-27T12:56:59+00:00,39.51493302360177,2.71073279902339,128,2026-03-27T12:57:05.169408+00:00,13,1,0.215,3.147,12.9,295.645
2026-03-27T12:57:00+00:00,39.51493092812598,2.7107305359095335,127,2026-03-27T12:57:05.169408+00:00,13,1,0.303,3.45,18.18,219.8
2026-03-27T12:57:01+00:00,39.51493000611663,2.710727183148265,127,2026-03-27T12:57:05.169408+00:00,13,1,0.305,3.755,18.3,250.381
2026-03-27T12:57:02+00:00,39.514931263402104,2.710720980539918,127,2026-03-27T12:57:05.169408+00:00,13,1,0.55,4.306,33.0,284.722
2026-03-27T12:57:03+00:00,39.51493067666888,2.7107113413512707,127,2026-03-27T12:57:05.169408+00:00,13,1,0.829,5.135,49.74,265.489
2026-03-27T12:57:04+00:00,39.514932269230485,2.710704132914543,128,2026-03-27T12:57:05.169408+00:00,13,1,0.643,5.778,38.58,285.981
2026-03-27T12:57:05+00:00,39.514930341392756,2.710698936134577,130,2026-03-27T12:57:05.169408+00:00,13,1,0.495,6.273,29.7,244.319
2026-03-27T12:57:06+00:00,39.5149264857173,2.710689464583993,132,2026-03-27T12:57:05.169408+00:00,13,1,0.919,7.192,55.14,242.181
2026-03-27T12:57:07+00:00,39.51492162421346,2.7106780651956797,133,2026-03-27T12:57:05.169408+00:00,13,1,1.117,8.309,67.02,241.066
2026-03-27T12:57:08+00:00,39.51491307467222,2.710665659978986,133,2026-03-27T12:57:05.169408+00:00,13,1,1.427,9.736,85.62,228.224
2026-03-27T12:57:09+00:00,39.51490569859743,2.710652584210038,133,2026-03-27T12:57:05.169408+00:00,13,1,1.39,11.125,83.4,233.825
2026-03-27T12:57:10+00:00,39.51490083709359,2.710638837888837,133,2026-03-27T12:57:05.169408+00:00,13,1,1.297,12.423,77.82,245.372
2026-03-27T12:57:11+00:00,39.51489790342748,2.7106219064444304,133,2026-03-27T12:57:05.169408+00:00,13,1,1.489,13.911,89.34,257.342
2026-03-27T12:57:12+00:00,39.51489429920912,2.7106016222387552,133,2026-03-27T12:57:05.169408+00:00,13,1,1.786,15.697,107.16,257.03
2026-03-27T12:57:13+00:00,39.5148900244385,2.7105832658708096,135,2026-03-27T12:57:05.169408+00:00,13,1,1.645,17.342,98.7,253.203
2026-03-27T12:57:14+00:00,39.51488516293466,2.7105674240738153,139,2026-03-27T12:57:05.169408+00:00,13,1,1.463,18.804,87.78,248.308
2026-03-27T12:57:15+00:00,39.51488113962114,2.710551582276821,145,2026-03-27T12:57:05.169408+00:00,13,1,1.431,20.235,85.86,251.778
2026-03-27T12:57:16+00:00,39.51487912796438,2.7105355728417635,149,2026-03-27T12:57:05.169408+00:00,13,1,1.391,21.626,83.46,260.749
2026-03-27T12:57:17+00:00,39.514878960326314,2.71052073687315,149,2026-03-27T12:57:05.169408+00:00,13,1,1.273,22.899,76.38,269.161
2026-03-27T12:57:18+00:00,39.51487795449793,2.710508499294519,147,2026-03-27T12:57:05.169408+00:00,13,1,1.056,23.955,63.36,263.919
2026-03-27T12:57:19+00:00,39.51487485319376,2.710493579506874,146,2026-03-27T12:57:05.169408+00:00,13,1,1.325,25.28,79.5,254.92
2026-03-27T12:57:20+00:00,39.514870746061206,2.710480336099863,140,2026-03-27T12:57:05.169408+00:00,13,1,1.224,26.505,73.44,248.1
2026-03-27T12:57:21+00:00,39.514865800738335,2.7104696072638035,137,2026-03-27T12:57:05.169408+00:00,13,1,1.072,27.577,64.32,239.142
2026-03-27T12:57:22+00:00,39.514860436320305,2.7104554418474436,135,2026-03-27T12:57:05.169408+00:00,13,1,1.354,28.93,81.24,243.854
2026-03-27T12:57:23+00:00,39.51485498808324,2.710440354421735,135,2026-03-27T12:57:05.169408+00:00,13,1,1.429,30.359,85.74,244.916
2026-03-27T12:57:24+00:00,39.514848282560706,2.710427949205041,136,2026-03-27T12:57:05.169408+00:00,13,1,1.299,31.659,77.94,234.982
2026-03-27T12:57:25+00:00,39.514843840152025,2.710416130721569,136,2026-03-27T12:57:05.169408+00:00,13,1,1.128,32.787,67.68,244.023
2026-03-27T12:57:26+00:00,39.51483772136271,2.7104059047997,135,2026-03-27T12:57:05.169408+00:00,13,1,1.11,33.897,66.6,232.202
2026-03-27T12:57:27+00:00,39.514834117144346,2.710391990840435,135,2026-03-27T12:57:05.169408+00:00,13,1,1.259,35.156,75.54,251.439
2026-03-27T12:57:28+00:00,39.51482925564051,2.710380842909217,136,2026-03-27T12:57:05.169408+00:00,13,1,1.099,36.254,65.94,240.521
2026-03-27T12:57:29+00:00,39.51482305303216,2.710363743826747,135,2026-03-27T12:57:05.169408+00:00,13,1,1.621,37.875,97.26,244.817
2026-03-27T12:57:30+00:00,39.51481970027089,2.710344884544611,135,2026-03-27T12:57:05.169408+00:00,13,1,1.66,39.535,99.6,257.023
2026-03-27T12:57:31+00:00,39.51482020318508,2.7103284560143948,135,2026-03-27T12:57:05.169408+00:00,13,1,1.41,40.946,84.6,272.272
2026-03-27T12:57:32+00:00,39.514827160164714,2.7103146258741617,135,2026-03-27T12:57:05.169408+00:00,13,1,1.416,42.362,84.96,303.106
2026-03-27T12:57:33+00:00,39.51483445242047,2.7103047352284193,143,2026-03-27T12:57:05.169408+00:00,13,1,1.174,43.536,70.44,313.703
2026-03-27T12:57:34+00:00,39.51484300196171,2.710297107696533,145,2026-03-27T12:57:05.169408+00:00,13,1,1.154,44.69,69.24,325.462
2026-03-27T12:57:35+00:00,39.514850629493594,2.7102940063923597,146,2026-03-27T12:57:05.169408+00:00,13,1,0.889,45.579,53.34,342.585
2026-03-27T12:57:36+00:00,39.51486077159643,2.710298029705882,146,2026-03-27T12:57:05.169408+00:00,13,1,1.179,46.758,70.74,17.016
2026-03-27T12:57:37+00:00,39.5148744340986,2.710304232314229,148,2026-03-27T12:57:05.169408+00:00,13,1,1.61,48.368,96.6,19.302
2026-03-27T12:57:38+00:00,39.514886336401105,2.7103093452751637,148,2026-03-27T12:57:05.169408+00:00,13,1,1.394,49.762,83.64,18.335
2026-03-27T12:57:39+00:00,39.514898573979735,2.7103093452751637,149,2026-03-27T12:57:05.169408+00:00,13,1,1.361,51.123,81.66,0.0
2026-03-27T12:57:40+00:00,39.51491299085319,2.7103120274841785,151,2026-03-27T12:57:05.169408+00:00,13,1,1.62,52.742,97.2,8.168
2026-03-27T12:57:41+00:00,39.514926401898265,2.7103173080831766,152,2026-03-27T12:57:05.169408+00:00,13,1,1.559,54.301,93.54,16.897
2026-03-27T12:57:42+00:00,39.51493897475302,2.710319235920906,154,2026-03-27T12:57:05.169408+00:00,13,1,1.408,55.709,84.48,6.746
2026-03-27T12:57:43+00:00,39.514952134341,2.7103217504918575,155,2026-03-27T12:57:05.169408+00:00,13,1,1.479,57.188,88.74,8.386
2026-03-27T12:57:44+00:00,39.51496361754835,2.710323678329587,154,2026-03-27T12:57:05.169408+00:00,13,1,1.288,58.475,77.28,7.38
2026-03-27T12:57:45+00:00,39.514975268393755,2.7103256061673164,152,2026-03-27T12:57:05.169408+00:00,13,1,1.306,59.781,78.36,7.275
2026-03-27T12:57:46+00:00,39.51498926617205,2.710327450186014,151,2026-03-27T12:57:05.169408+00:00,13,1,1.564,61.346,93.84,5.803
2026-03-27T12:57:47+00:00,39.51500318013131,2.7103303000330925,151,2026-03-27T12:57:05.169408+00:00,13,1,1.566,62.912,93.96,8.979
2026-03-27T12:57:48+00:00,39.51501851901412,2.710330970585346,150,2026-03-27T12:57:05.169408+00:00,13,1,1.707,64.619,102.42,1.932
2026-03-27T12:57:49+00:00,39.51503176242113,2.710331557318568,150,2026-03-27T12:57:05.169408+00:00,13,1,1.473,66.092,88.38,1.958
2026-03-27T12:57:50+00:00,39.515042742714286,2.710330467671156,150,2026-03-27T12:57:05.169408+00:00,13,1,1.225,67.317,73.5,355.622
2026-03-27T12:57:51+00:00,39.51505288481712,2.7103284560143948,150,2026-03-27T12:57:05.169408+00:00,13,1,1.141,68.457,68.46,351.3
2026-03-27T12:57:52+00:00,39.515062272548676,2.7103271149098873,149,2026-03-27T12:57:05.169408+00:00,13,1,1.05,69.508,63.0,353.711
2026-03-27T12:57:53+00:00,39.51507241465151,2.7103264443576336,150,2026-03-27T12:57:05.169408+00:00,13,1,1.129,70.637,67.74,357.08
2026-03-27T12:57:54+00:00,39.51508481986821,2.7103282883763313,150,2026-03-27T12:57:05.169408+00:00,13,1,1.388,72.025,83.28,6.542
2026-03-27T12:57:55+00:00,39.515095967799425,2.710328372195363,148,2026-03-27T12:57:05.169408+00:00,13,1,1.24,73.265,74.4,0.332
2026-03-27T12:57:56+00:00,39.515108205378056,2.710328623652458,147,2026-03-27T12:57:05.169408+00:00,13,1,1.361,74.626,81.66,0.908
2026-03-27T12:57:57+00:00,39.51512019149959,2.7103284560143948,147,2026-03-27T12:57:05.169408+00:00,13,1,1.333,75.959,79.98,359.382
2026-03-27T12:57:58+00:00,39.51513377018273,2.71032577380538,145,2026-03-27T12:57:05.169408+00:00,13,1,1.527,77.486,91.62,351.336
2026-03-27T12:57:59+00:00,39.51514667831361,2.710324516519904,145,2026-03-27T12:57:05.169408+00:00,13,1,1.439,78.925,86.34,355.703
2026-03-27T12:58:00+00:00,39.515158496797085,2.7103225886821747,145,2026-03-27T12:57:05.169408+00:00,13,1,1.325,80.25,79.5,352.828
2026-03-27T12:58:01+00:00,39.51517140492797,2.7103211637586355,146,2026-03-27T12:57:05.169408+00:00,13,1,1.441,81.69,86.46,355.132
2026-03-27T12:58:02+00:00,39.51518313959241,2.710317810997367,146,2026-03-27T12:57:05.169408+00:00,13,1,1.336,83.027,80.16,347.57
2026-03-27T12:58:03+00:00,39.515193197876215,2.710308590903878,147,2026-03-27T12:57:05.169408+00:00,13,1,1.37,84.396,82.2,324.733
2026-03-27T12:58:04+00:00,39.5152026694268,2.710298700258136,147,2026-03-27T12:57:05.169408+00:00,13,1,1.352,85.749,81.12,321.145
2026-03-27T12:58:05+00:00,39.51520727947354,2.710285959765315,148,2026-03-27T12:57:05.169408+00:00,13,1,1.207,86.956,72.42,295.128
2026-03-27T12:58:06+00:00,39.51521096751094,2.710272716358304,151,2026-03-27T12:57:05.169408+00:00,13,1,1.208,88.164,72.48,289.849
2026-03-27T12:58:07+00:00,39.515214739367366,2.710259137675166,153,2026-03-27T12:57:05.169408+00:00,13,1,1.238,89.402,74.28,289.802
2026-03-27T12:58:08+00:00,39.51521012932062,2.7102451398968697,153,2026-03-27T12:57:05.169408+00:00,13,1,1.306,90.707,78.36,246.882
2026-03-27T12:58:09+00:00,39.5152008254081,2.710224771872163,154,2026-03-27T12:57:05.169408+00:00,13,1,2.031,92.738,121.86,239.37
2026-03-27T12:58:10+00:00,39.51519479043782,2.710205828770995,156,2026-03-27T12:57:05.169408+00:00,13,1,1.758,94.496,105.48,247.561
2026-03-27T12:58:11+00:00,39.515188252553344,2.7101878076791763,156,2026-03-27T12:57:05.169408+00:00,13,1,1.708,96.204,102.48,244.814
2026-03-27T12:58:12+00:00,39.515183391049504,2.710171462967992,157,2026-03-27T12:57:05.169408+00:00,13,1,1.503,97.707,90.18,248.916
2026-03-27T12:58:13+00:00,39.515181044116616,2.7101567946374416,159,2026-03-27T12:57:05.169408+00:00,13,1,1.285,98.992,77.1,258.283
2026-03-27T12:58:14+00:00,39.51518003828824,2.7101403661072254,160,2026-03-27T12:57:05.169408+00:00,13,1,1.414,100.406,84.84,265.462
2026-03-27T12:58:15+00:00,39.51518280431628,2.710120417177677,161,2026-03-27T12:57:05.169408+00:00,13,1,1.739,102.144,104.34,280.189
2026-03-27T12:58:16+00:00,39.515186324715614,2.7101028990000486,162,2026-03-27T12:57:05.169408+00:00,13,1,1.553,103.697,93.18,284.601
2026-03-27T12:58:17+00:00,39.51519336551428,2.7100911643356085,162,2026-03-27T12:57:05.169408+00:00,13,1,1.275,104.973,76.5,307.874
2026-03-27T12:58:18+00:00,39.51520216651261,2.710082111880183,162,2026-03-27T12:57:05.169408+00:00,13,1,1.249,106.222,74.94,321.568
2026-03-27T12:58:19+00:00,39.51521239243448,2.7100769989192486,163,2026-03-27T12:57:05.169408+00:00,13,1,1.219,107.441,73.14,338.907
2026-03-27T12:58:20+00:00,39.51522211544216,2.7100749034434557,163,2026-03-27T12:57:05.169408+00:00,13,1,1.096,108.537,65.76,350.56
2026-03-27T12:58:21+00:00,39.51523460447788,2.7100828662514687,162,2026-03-27T12:57:05.169408+00:00,13,1,1.548,110.084,92.88,26.191
2026-03-27T12:58:22+00:00,39.51525203883648,2.7100899070501328,163,2026-03-27T12:57:05.169408+00:00,13,1,2.031,112.115,121.86,17.304
2026-03-27T12:58:23+00:00,39.51526947319507,2.7100940980017185,163,2026-03-27T12:57:05.169408+00:00,13,1,1.972,114.086,118.32,10.506
2026-03-27T12:58:24+00:00,39.51528497971594,2.7100972831249237,163,2026-03-27T12:57:05.169408+00:00,13,1,1.746,115.832,104.76,9.004
2026-03-27T12:58:25+00:00,39.515299228951335,2.7100994624197483,163,2026-03-27T12:57:05.169408+00:00,13,1,1.595,117.428,95.7,6.729
2026-03-27T12:58:26+00:00,39.51531574130058,2.7101005520671606,164,2026-03-27T12:57:05.169408+00:00,13,1,1.838,119.266,110.28,2.914
2026-03-27T12:58:27+00:00,39.5153305772692,2.710104575380683,164,2026-03-27T12:57:05.169408+00:00,13,1,1.685,120.951,101.1,11.816
2026-03-27T12:58:28+00:00,39.51534725725651,2.7101068384945393,164,2026-03-27T12:57:05.169408+00:00,13,1,1.865,122.816,111.9,5.975
2026-03-27T12:58:29+00:00,39.51536561362445,2.710106587037444,163,2026-03-27T12:57:05.169408+00:00,13,1,2.041,124.858,122.46,359.395
2026-03-27T12:58:30+00:00,39.51538170687854,2.7101070061326027,163,2026-03-27T12:57:05.169408+00:00,13,1,1.79,126.647,107.4,1.151
