timestamp_utc,latitude,longitude,heart_rate,finish_time_utc,elapsed_race_time_s,finished_flag,seg_dist_m,dist_from_start_m,SOG_raw_mpm,COG_raw_deg
2026-03-31T13:54:59+00:00,39.50721060857177,2.6678209751844406,118,2026-03-31T14:34:26.115603+00:00,2367,1,0.0,0.0,0.0,0.0
2026-03-31T13:55:00+00:00,39.5072262827307,2.667823238298297,120,2026-03-31T14:34:26.115603+00:00,2367,1,1.754,1.754,105.24,6.357
2026-03-31T13:55:01+00:00,39.507248075678945,2.667821478098631,121,2026-03-31T14:34:26.115603+00:00,2367,1,2.428,4.182,145.68,356.434
2026-03-31T13:55:02+00:00,39.50727213174105,2.667817622423172,120,2026-03-31T14:34:26.115603+00:00,2367,1,2.695,6.877,161.7,352.95
2026-03-31T13:55:03+00:00,39.5072934217751,2.6678177062422037,119,2026-03-31T14:34:26.115603+00:00,2367,1,2.367,9.244,142.02,0.174
2026-03-31T13:55:04+00:00,39.50731638818979,2.6678209751844406,121,2026-03-31T14:34:26.115603+00:00,2367,1,2.569,11.813,154.14,6.267
2026-03-31T13:55:05+00:00,39.507341952994466,2.6678249146789312,123,2026-03-31T14:34:26.115603+00:00,2367,1,2.863,14.676,171.78,6.78
2026-03-31T13:55:06+00:00,39.50736600905657,2.667827596887946,124,2026-03-31T14:34:26.115603+00:00,2367,1,2.685,17.361,161.1,4.917
2026-03-31T13:55:07+00:00,39.50738939456642,2.667829943820834,125,2026-03-31T14:34:26.115603+00:00,2367,1,2.608,19.969,156.48,4.428
2026-03-31T13:55:08+00:00,39.507410265505314,2.6678306981921196,127,2026-03-31T14:34:26.115603+00:00,2367,1,2.322,22.291,139.32,1.597
2026-03-31T13:55:09+00:00,39.50743113644421,2.6678345538675785,127,2026-03-31T14:34:26.115603+00:00,2367,1,2.344,24.635,140.64,8.112
2026-03-31T13:55:10+00:00,39.50745544396341,2.6678375713527203,129,2026-03-31T14:34:26.115603+00:00,2367,1,2.715,27.35,162.9,5.471
2026-03-31T13:55:11+00:00,39.50747790746391,2.6678378228098154,131,2026-03-31T14:34:26.115603+00:00,2367,1,2.498,29.848,149.88,0.495
2026-03-31T13:55:12+00:00,39.50750104151666,2.667838577181101,132,2026-03-31T14:34:26.115603+00:00,2367,1,2.573,32.421,154.38,1.441
2026-03-31T13:55:13+00:00,39.50752518139779,2.667842013761401,131,2026-03-31T14:34:26.115603+00:00,2367,1,2.7,35.122,162.0,6.268
2026-03-31T13:55:14+00:00,39.5075489860028,2.667843187227845,132,2026-03-31T14:34:26.115603+00:00,2367,1,2.649,37.77,158.94,2.178
2026-03-31T13:55:15+00:00,39.50757044367492,2.6678416784852743,133,2026-03-31T14:34:26.115603+00:00,2367,1,2.389,40.16,143.34,356.895
2026-03-31T13:55:16+00:00,39.50758779421449,2.6678412593901157,133,2026-03-31T14:34:26.115603+00:00,2367,1,1.93,42.09,115.8,358.932
2026-03-31T13:55:17+00:00,39.50760941952467,2.6678410917520523,131,2026-03-31T14:34:26.115603+00:00,2367,1,2.405,44.494,144.3,359.657
2026-03-31T13:55:18+00:00,39.50762995518744,2.66784000210464,132,2026-03-31T14:34:26.115603+00:00,2367,1,2.285,46.78,137.1,357.656
2026-03-31T13:55:19+00:00,39.50765375979245,2.667838996276259,133,2026-03-31T14:34:26.115603+00:00,2367,1,2.648,49.428,158.88,358.133
2026-03-31T13:55:20+00:00,39.507677061483264,2.6678404211997986,134,2026-03-31T14:34:26.115603+00:00,2367,1,2.594,52.022,155.64,2.701
2026-03-31T13:55:21+00:00,39.507699608802795,2.667843271046877,134,2026-03-31T14:34:26.115603+00:00,2367,1,2.519,54.541,151.14,5.57
2026-03-31T13:55:22+00:00,39.5077493134886,2.667850311845541,135,2026-03-31T14:34:26.115603+00:00,2367,1,5.56,60.101,333.6,6.237
2026-03-31T13:55:23+00:00,39.50777010060847,2.667853245511651,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.325,62.426,139.5,6.214
2026-03-31T13:55:24+00:00,39.50778870843351,2.6678554248064756,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.078,64.503,124.68,5.163
2026-03-31T13:55:25+00:00,39.50781066901982,2.667859112843871,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.462,66.966,147.72,7.383
2026-03-31T13:55:26+00:00,39.507833970710635,2.667860286310315,136,2026-03-31T14:34:26.115603+00:00,2367,1,2.593,69.559,155.58,2.225
2026-03-31T13:55:27+00:00,39.50785961933434,2.667861375957727,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.854,72.412,171.24,1.877
2026-03-31T13:55:28+00:00,39.507885267958045,2.667866740375757,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.889,75.301,173.34,9.167
2026-03-31T13:55:29+00:00,39.50790706090629,2.6678731106221676,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.484,77.785,149.04,12.709
2026-03-31T13:55:30+00:00,39.50792608782649,2.6678793970495462,136,2026-03-31T14:34:26.115603+00:00,2367,1,2.183,79.969,130.98,14.301
2026-03-31T13:55:31+00:00,39.50794603675604,2.6678845938295126,136,2026-03-31T14:34:26.115603+00:00,2367,1,2.263,82.231,135.78,11.364
2026-03-31T13:55:32+00:00,39.50796615332365,2.667887192219496,136,2026-03-31T14:34:26.115603+00:00,2367,1,2.248,84.479,134.88,5.691
2026-03-31T13:55:33+00:00,39.50798828154802,2.6678881980478764,136,2026-03-31T14:34:26.115603+00:00,2367,1,2.462,86.941,147.72,2.009
2026-03-31T13:55:34+00:00,39.50801066122949,2.6678897067904472,138,2026-03-31T14:34:26.115603+00:00,2367,1,2.492,89.433,149.52,2.977
2026-03-31T13:55:35+00:00,39.50803371146321,2.6678932271897793,139,2026-03-31T14:34:26.115603+00:00,2367,1,2.581,92.014,154.86,6.72
2026-03-31T13:55:36+00:00,39.50805709697306,2.6678980886936188,140,2026-03-31T14:34:26.115603+00:00,2367,1,2.634,94.647,158.04,9.112
2026-03-31T13:55:37+00:00,39.50807838700712,2.6679035369306803,141,2026-03-31T14:34:26.115603+00:00,2367,1,2.413,97.06,144.78,11.169
2026-03-31T13:55:38+00:00,39.508098838850856,2.667910996824503,140,2026-03-31T14:34:26.115603+00:00,2367,1,2.362,99.423,141.72,15.718
2026-03-31T13:55:39+00:00,39.50812130235136,2.6679175347089767,140,2026-03-31T14:34:26.115603+00:00,2367,1,2.56,101.983,153.6,12.656
2026-03-31T13:55:40+00:00,39.50814225710928,2.667923318222165,139,2026-03-31T14:34:26.115603+00:00,2367,1,2.382,104.365,142.92,12.021
2026-03-31T13:55:41+00:00,39.50816270895302,2.667927341535687,139,2026-03-31T14:34:26.115603+00:00,2367,1,2.3,106.665,138.0,8.63
2026-03-31T13:55:42+00:00,39.50818374752998,2.667931616306305,139,2026-03-31T14:34:26.115603+00:00,2367,1,2.368,109.033,142.08,8.91
2026-03-31T13:55:43+00:00,39.50820554047823,2.6679349690675735,139,2026-03-31T14:34:26.115603+00:00,2367,1,2.44,111.474,146.4,6.769
2026-03-31T13:55:44+00:00,39.50823135674,2.6679411716759205,140,2026-03-31T14:34:26.115603+00:00,2367,1,2.92,114.393,175.2,10.502
2026-03-31T13:55:45+00:00,39.508258095011115,2.6679478771984577,141,2026-03-31T14:34:26.115603+00:00,2367,1,3.028,117.422,181.68,10.951
2026-03-31T13:55:46+00:00,39.50828148052096,2.667952235788107,143,2026-03-31T14:34:26.115603+00:00,2367,1,2.627,120.049,157.62,8.183
2026-03-31T13:55:47+00:00,39.50830386020243,2.6679576002061367,144,2026-03-31T14:34:26.115603+00:00,2367,1,2.531,122.579,151.86,10.478
2026-03-31T13:55:48+00:00,39.50832615606487,2.6679608691483736,144,2026-03-31T14:34:26.115603+00:00,2367,1,2.495,125.074,149.7,6.454
2026-03-31T13:55:49+00:00,39.50834744609893,2.667963383719325,144,2026-03-31T14:34:26.115603+00:00,2367,1,2.377,127.451,142.62,5.207
2026-03-31T13:55:50+00:00,39.50836840085685,2.6679647248238325,144,2026-03-31T14:34:26.115603+00:00,2367,1,2.333,129.784,139.98,2.827
2026-03-31T13:55:51+00:00,39.508391451090574,2.667963718995452,145,2026-03-31T14:34:26.115603+00:00,2367,1,2.565,132.349,153.9,358.072
2026-03-31T13:55:52+00:00,39.50841316021979,2.667965730652213,145,2026-03-31T14:34:26.115603+00:00,2367,1,2.42,134.769,145.2,4.089
2026-03-31T13:55:53+00:00,39.50843428261578,2.667970424517989,145,2026-03-31T14:34:26.115603+00:00,2367,1,2.383,137.152,142.98,9.729
2026-03-31T13:55:54+00:00,39.50845766812563,2.6679764594882727,146,2026-03-31T14:34:26.115603+00:00,2367,1,2.651,139.803,159.06,11.261
2026-03-31T13:55:55+00:00,39.50847837142646,2.6679833326488733,146,2026-03-31T14:34:26.115603+00:00,2367,1,2.376,142.18,142.56,14.367
2026-03-31T13:55:56+00:00,39.50850427150726,2.6679912954568863,146,2026-03-31T14:34:26.115603+00:00,2367,1,2.96,145.14,177.6,13.344
2026-03-31T13:55:57+00:00,39.50852790847421,2.6679980847984552,147,2026-03-31T14:34:26.115603+00:00,2367,1,2.692,147.832,161.52,12.495
2026-03-31T13:55:58+00:00,39.50855364091694,2.6680061314255,147,2026-03-31T14:34:26.115603+00:00,2367,1,2.943,150.775,176.58,13.564
2026-03-31T13:55:59+00:00,39.50857987627387,2.668012836948037,148,2026-03-31T14:34:26.115603+00:00,2367,1,2.973,153.749,178.38,11.155
2026-03-31T13:56:00+00:00,39.508603597059846,2.6680188719183207,149,2026-03-31T14:34:26.115603+00:00,2367,1,2.688,156.437,161.28,11.105
2026-03-31T13:56:01+00:00,39.508627066388726,2.6680218894034624,149,2026-03-31T14:34:26.115603+00:00,2367,1,2.622,159.059,157.32,5.665
2026-03-31T13:56:02+00:00,39.50864911079407,2.6680259127169847,150,2026-03-31T14:34:26.115603+00:00,2367,1,2.475,161.534,148.5,8.015
