date,race_number,group_color,gun_time,finish_time,utc_offset,x_10_unix,x_20_unix,x_30_unix,verified_start_utc
301125,1,yellow,11:12:30,12:05:00,0,1764501160,1764501170,1764501180,2025-11-30T11:13:07.510177+00:00
301125,2,yellow,12:16:15,13:01:00,0,1764504985,1764504995,1764505005,2026-01-30T11:54:54.200691+00:00
200126,1,yellow,15:12:00,15:35:00,0,1768921930,1768921940,1768921950,2026-01-20T15:12:46.293081+00:00
220126,1,yellow,16:01:00,16:23:00,0,1769097670,1769097680,1769097690,2026-01-22T16:01:42.618947+00:00
220126,2,yellow,15:44:40,15:59:00,0,1769095720,1769095730,1769095740,2026-01-22T15:44:48.624860+00:00
230126,1,yellow,12:50:00,13:05:00,0,1769172610,1769172620,1769172630,2026-01-23T12:53:04.282344+00:00
230126,2,yellow,13:07:00,13:20:00,0,1769173630,1769173640,1769173650,2026-01-23T13:04:27.033010+00:00
300126,1,yellow,11:28:00,11:49:00,0,1769772490,1769772500,1769772510,2026-01-30T11:29:08.657786+00:00
300126,2,yellow,11:53:00,12:14:00,0,1769773990,1769774000,1769774010,2026-01-30T11:53:47.570946+00:00
300126,3,yellow,12:18:00,12:37:00,0,1769775490,1769775500,1769775510,2026-01-30T12:19:07.968303+00:00
310126,1,yellow,14:55:30,15:08:00,0,1769871340,1769871350,1769871360,2026-01-31T14:56:19.242529+00:00
310126,2,yellow,15:08:30,15:21:45,0,1769872120,1769872130,1769872140,2026-01-31T15:09:06.176635+00:00
190226,1,yellow,13:59:30,14:24:00,0,1771509580,1771509590,1771509600,2026-02-19T14:00:41.805884+00:00
190226,2,yellow,14:26:15,14:50:00,0,1771511185,1771511195,1771511205,2026-02-19T14:27:11.110632+00:00
190226,3,yellow,14:53:00,15:07:00,0,1771512790,1771512800,1771512810,2026-02-19T14:55:00.313454+00:00
190226,4,yellow,15:18:00,16:10:00,0,1771514290,1771514300,1771514310,2026-02-19T15:18:15.550150+00:00
250226,1,yellow,15:31:00,16:40:00,0,1772033410,1772033420,1772033430,2026-02-25T15:31:55.932434+00:00
250226,1,blue,15:40:00,17:00:00,0,1772034010,1772034020,1772034030,2026-02-25T15:40:35.282735+00:00
260226,1,yellow,12:46:00,13:30:00,0,1772109970,1772109980,1772109990,2026-02-26T12:46:57.605860+00:00
260226,1,blue,12:50:00,13:45:00,0,1772110390,1772110400,1772110410,2026-02-26T13:10:32.803167+00:00
260226,2,yellow,13:41:00,14:40:00,0,1772113270,1772113280,1772113290,2026-02-26T13:53:29.062038+00:00
260226,2,blue,13:45:00,14:45:00,0,1772113390,1772113400,1772113410,2026-02-26T13:53:14.929881+00:00
270226,1,yellow,15:51:00,16:35:00,0,1772207470,1772207480,1772207490,2026-02-27T15:52:04.103679+00:00
270226,2,yellow,16:44:00,17:30:00,0,1772210650,1772210660,1772210670,2026-02-27T16:45:06.754422+00:00
270226,1,blue,16:05:00,16:45:00,0,1772208310,1772208320,1772208330,2026-02-27T16:06:10.093254+00:00
270226,2,blue,16:54:00,17:40:00,0,1772211250,1772211260,1772211270,2026-02-27T16:55:02.322289+00:00
100326,1,yellow,13:02:00,13:20:00,0,1773147730,1773147740,1773147750,2026-03-10T13:02:43.024683+00:00
110326,1,yellow,13:00:00,15:00:00,0,1773241210,1773241220,1773241230,
120326,2,yellow,14:12:00,14:34:15,0,1773324730,1773324740,1773324750,2026-03-12T14:12:44.763007+00:00
120326,1,yellow,13:05:00,13:17:30,0,1773320710,1773320720,1773320730,2026-03-12T13:05:48.144829+00:00
120326,3,yellow,14:43:15,15:05:00,0,1773326605,1773326615,1773326625,2026-03-12T14:43:53.931185+00:00
170326,1,yellow,13:12:00,13:28:35,0,,,,2026-03-17T13:13:20.301474+00:00
170326,2,yellow,13:30:00,13:45:00,0,,,,2026-03-17T13:30:36.657860+00:00
170326,3,yellow,13:46:00,14:02:00,0,,,,2026-03-17T13:46:57.928092+00:00
170326,4,yellow,14:07:00,14:18:00,0,,,,2026-03-17T14:07:17.237799+00:00
170326,5,yellow,14:23:30,14:40:00,0,,,,2026-03-17T14:23:48.284349+00:00
170326,6,yellow,14:39:00,15:02:00,0,1773758350,1773758360,1773758370,2026-03-17T14:39:07.368815+00:00
180326,1,yellow,13:08:30,13:20:45,0,1773839320,1773839330,1773839340,2026-03-18T13:08:39.343589+00:00
180326,2,yellow,13:22:00,13:37:00,0,1773840130,1773840140,1773840150,2026-03-18T13:23:10.815829+00:00
180326,3,yellow,13:38:00,13:50:15,0,,,,2026-03-18T13:38:25.683703+00:00
180326,4,yellow,13:51:00,14:07:45,0,,,,2026-03-18T13:52:57.410145+00:00
180326,5,yellow,14:08:30,14:35:00,0,,,,2026-03-18T14:09:08.806757+00:00
180326,6,yellow,14:37:00,14:55:00,0,,,,2026-03-18T14:39:00.136104+00:00
180326,7,yellow,14:56:45,15:15:00,0,,,,2026-03-18T14:56:57.781219+00:00
180326,8,yellow,15:16:00,15:37:45,0,,,,2026-03-18T15:20:18.967227+00:00
