timestamp_utc,latitude,longitude,heart_rate,finish_time_utc,elapsed_race_time_s,finished_flag,seg_dist_m,dist_from_start_m,SOG_raw_mpm,COG_raw_deg
2026-04-01T09:29:54+00:00,39.50352611253038,2.669135655742138,150,2026-04-01T10:11:57.650915+00:00,2524,1,0.0,0.0,0.0,0.0
2026-04-01T09:29:55+00:00,39.50353430584073,2.669132659211755,151,2026-04-01T10:11:57.650915+00:00,2524,1,0.947,0.947,56.82,344.241
2026-04-01T09:29:56+00:00,39.50354465749115,2.6691321562975645,152,2026-04-01T10:11:57.650915+00:00,2524,1,1.152,2.098,69.12,357.853
2026-04-01T09:29:57+00:00,39.50355500914157,2.669131653383374,153,2026-04-01T10:11:57.650915+00:00,2524,1,1.152,3.25,69.12,357.853
2026-04-01T09:29:58+00:00,39.50356837827712,2.6691284961998463,154,2026-04-01T10:11:57.650915+00:00,2524,1,1.511,4.761,90.66,349.673
2026-04-01T09:29:59+00:00,39.50358174741268,2.6691253390163183,154,2026-04-01T10:11:57.650915+00:00,2524,1,1.511,6.272,90.66,349.673
2026-04-01T09:30:00+00:00,39.50359511654824,2.6691221818327904,155,2026-04-01T10:11:57.650915+00:00,2524,1,1.511,7.784,90.66,349.673
2026-04-01T09:30:01+00:00,39.5036084856838,2.6691190246492624,156,2026-04-01T10:11:57.650915+00:00,2524,1,1.511,9.295,90.66,349.673
2026-04-01T09:30:02+00:00,39.50362185481936,2.6691158674657345,156,2026-04-01T10:11:57.650915+00:00,2524,1,1.511,10.806,90.66,349.673
2026-04-01T09:30:03+00:00,39.50363522395491,2.6691127102822065,157,2026-04-01T10:11:57.650915+00:00,2524,1,1.511,12.317,90.66,349.673
2026-04-01T09:30:04+00:00,39.50365714263171,2.669107555411756,158,2026-04-01T10:11:57.650915+00:00,2524,1,2.477,14.794,148.62,349.715
2026-04-01T09:30:05+00:00,39.5036790613085,2.6691024005413055,158,2026-04-01T10:11:57.650915+00:00,2524,1,2.477,17.271,148.62,349.715
