timestamp_utc,latitude,longitude,heart_rate,finish_time_utc,elapsed_race_time_s,finished_flag,seg_dist_m,dist_from_start_m,SOG_raw_mpm,COG_raw_deg
2026-03-12T14:43:54+00:00,37.069240654818714,-8.129245704039931,92,2026-03-12T15:02:17.847911+00:00,1104,1,0.0,0.0,0.0,0.0
2026-03-12T14:43:55+00:00,37.06923935562372,-8.129238663241267,90,2026-03-12T15:02:17.847911+00:00,1104,1,0.641,0.641,38.46,103.021
2026-03-12T14:43:56+00:00,37.069237511605024,-8.129234639927745,90,2026-03-12T15:02:17.847911+00:00,1104,1,0.412,1.053,24.72,119.874
2026-03-12T14:43:57+00:00,37.06923306919634,-8.129224539734423,90,2026-03-12T15:02:17.847911+00:00,1104,1,1.023,2.076,61.38,118.865
2026-03-12T14:43:58+00:00,37.06922862678766,-8.129214439541101,89,2026-03-12T15:02:17.847911+00:00,1104,1,1.023,3.099,61.38,118.865
2026-03-12T14:43:59+00:00,37.06922418437898,-8.12920433934778,89,2026-03-12T15:02:17.847911+00:00,1104,1,1.023,4.123,61.38,118.865
2026-03-12T14:44:00+00:00,37.0692197419703,-8.129194239154458,89,2026-03-12T15:02:17.847911+00:00,1104,1,1.023,5.146,61.38,118.865
2026-03-12T14:44:01+00:00,37.06921529956162,-8.129184138961136,88,2026-03-12T15:02:17.847911+00:00,1104,1,1.023,6.169,61.38,118.865
2026-03-12T14:44:02+00:00,37.06921085715294,-8.129174038767815,88,2026-03-12T15:02:17.847911+00:00,1104,1,1.023,7.192,61.38,118.865
2026-03-12T14:44:03+00:00,37.069209683686495,-8.129159487783909,89,2026-03-12T15:02:17.847911+00:00,1104,1,1.298,8.49,77.88,95.771
2026-03-12T14:44:04+00:00,37.06920851022005,-8.129144936800003,90,2026-03-12T15:02:17.847911+00:00,1104,1,1.298,9.788,77.88,95.771
2026-03-12T14:44:05+00:00,37.06920733675361,-8.129130385816097,90,2026-03-12T15:02:17.847911+00:00,1104,1,1.298,11.085,77.88,95.771
2026-03-12T14:44:06+00:00,37.06920616328716,-8.129115834832191,91,2026-03-12T15:02:17.847911+00:00,1104,1,1.298,12.383,77.88,95.771
2026-03-12T14:44:07+00:00,37.06920498982072,-8.129101283848286,92,2026-03-12T15:02:17.847911+00:00,1104,1,1.298,13.68,77.88,95.771
2026-03-12T14:44:08+00:00,37.06920700147748,-8.12908535823226,92,2026-03-12T15:02:17.847911+00:00,1104,1,1.431,15.111,85.86,81.004
2026-03-12T14:44:09+00:00,37.06920930650085,-8.129067965783179,92,2026-03-12T15:02:17.847911+00:00,1104,1,1.564,16.675,93.84,80.569
2026-03-12T14:44:10+00:00,37.069211611524224,-8.129050573334098,93,2026-03-12T15:02:17.847911+00:00,1104,1,1.564,18.239,93.84,80.569
2026-03-12T14:44:11+00:00,37.06921680830419,-8.129034605808556,94,2026-03-12T15:02:17.847911+00:00,1104,1,1.53,19.769,91.8,67.81
2026-03-12T14:44:12+00:00,37.06922200508416,-8.129018638283014,94,2026-03-12T15:02:17.847911+00:00,1104,1,1.53,21.299,91.8,67.81
2026-03-12T14:44:13+00:00,37.0692223822698,-8.129002628847957,94,2026-03-12T15:02:17.847911+00:00,1104,1,1.421,22.72,85.26,88.309
2026-03-12T14:44:14+00:00,37.06922275945544,-8.128986619412899,93,2026-03-12T15:02:17.847911+00:00,1104,1,1.421,24.141,85.26,88.309
2026-03-12T14:44:15+00:00,37.06921597011387,-8.128970777615905,93,2026-03-12T15:02:17.847911+00:00,1104,1,1.595,25.737,95.7,118.241
2026-03-12T14:44:16+00:00,37.06920878961682,-8.128959210589528,93,2026-03-12T15:02:17.847911+00:00,1104,1,1.3,27.037,78.0,127.883
2026-03-12T14:44:17+00:00,37.06920160911977,-8.128947643563151,92,2026-03-12T15:02:17.847911+00:00,1104,1,1.3,28.337,78.0,127.883
2026-03-12T14:44:18+00:00,37.06919442862272,-8.128936076536775,92,2026-03-12T15:02:17.847911+00:00,1104,1,1.3,29.638,78.0,127.883
2026-03-12T14:44:19+00:00,37.06919669173658,-8.128929203376174,91,2026-03-12T15:02:17.847911+00:00,1104,1,0.66,30.297,39.6,67.576
2026-03-12T14:44:20+00:00,37.06919811666012,-8.12891608569771,90,2026-03-12T15:02:17.847911+00:00,1104,1,1.175,31.472,70.5,82.247
2026-03-12T14:44:21+00:00,37.06919954158366,-8.128902968019247,90,2026-03-12T15:02:17.847911+00:00,1104,1,1.175,32.647,70.5,82.247
2026-03-12T14:44:22+00:00,37.0692009665072,-8.128889850340784,90,2026-03-12T15:02:17.847911+00:00,1104,1,1.175,33.821,70.5,82.247
2026-03-12T14:44:23+00:00,37.069202391430736,-8.12887673266232,89,2026-03-12T15:02:17.847911+00:00,1104,1,1.175,34.996,70.5,82.247
2026-03-12T14:44:24+00:00,37.069199373945594,-8.128863908350468,90,2026-03-12T15:02:17.847911+00:00,1104,1,1.186,36.182,71.16,106.43
2026-03-12T14:44:25+00:00,37.06919635646045,-8.128851084038615,90,2026-03-12T15:02:17.847911+00:00,1104,1,1.186,37.368,71.16,106.43
2026-03-12T14:44:26+00:00,37.06919169612229,-8.128841528669,90,2026-03-12T15:02:17.847911+00:00,1104,1,0.994,38.362,59.64,121.435
2026-03-12T14:44:27+00:00,37.069187035784125,-8.128831973299384,91,2026-03-12T15:02:17.847911+00:00,1104,1,0.994,39.355,59.64,121.435
2026-03-12T14:44:28+00:00,37.06918237544596,-8.128822417929769,91,2026-03-12T15:02:17.847911+00:00,1104,1,0.994,40.349,59.64,121.435
2026-03-12T14:44:29+00:00,37.0691777151078,-8.128812862560153,92,2026-03-12T15:02:17.847911+00:00,1104,1,0.994,41.343,59.64,121.435
2026-03-12T14:44:30+00:00,37.069173054769635,-8.128803307190537,92,2026-03-12T15:02:17.847911+00:00,1104,1,0.994,42.336,59.64,121.435
2026-03-12T14:44:31+00:00,37.06916169729084,-8.128810138441622,93,2026-03-12T15:02:17.847911+00:00,1104,1,1.401,43.737,84.06,205.637
2026-03-12T14:44:32+00:00,37.06915033981204,-8.128816969692707,94,2026-03-12T15:02:17.847911+00:00,1104,1,1.401,45.138,84.06,205.637
2026-03-12T14:44:33+00:00,37.06913840398192,-8.12882892228663,94,2026-03-12T15:02:17.847911+00:00,1104,1,1.699,46.837,101.94,218.626
2026-03-12T14:44:34+00:00,37.06912646815181,-8.128840874880552,95,2026-03-12T15:02:17.847911+00:00,1104,1,1.699,48.536,101.94,218.626
2026-03-12T14:44:35+00:00,37.06911453232169,-8.128852827474475,95,2026-03-12T15:02:17.847911+00:00,1104,1,1.699,50.234,101.94,218.626
2026-03-12T14:44:36+00:00,37.069102596491575,-8.128864780068398,96,2026-03-12T15:02:17.847911+00:00,1104,1,1.699,51.933,101.94,218.626
2026-03-12T14:44:37+00:00,37.06909066066146,-8.12887673266232,96,2026-03-12T15:02:17.847911+00:00,1104,1,1.699,53.632,101.94,218.626
2026-03-12T14:44:38+00:00,37.06907284911722,-8.128889570944011,96,2026-03-12T15:02:17.847911+00:00,1104,1,2.285,55.917,137.1,209.904
2026-03-12T14:44:39+00:00,37.06905503757298,-8.128902409225702,96,2026-03-12T15:02:17.847911+00:00,1104,1,2.285,58.202,137.1,209.904
