timestamp_utc,latitude,longitude,heart_rate,finish_time_utc,elapsed_race_time_s,finished_flag,seg_dist_m,dist_from_start_m,SOG_raw_mpm,COG_raw_deg,geom_leg_id,geom_from_mark,geom_to_mark,geom_leg_bearing_deg,target_lat_deg,target_lon_deg,dist_to_target_m,bearing_to_target_deg,COG_deg,ATB_angle_deg,ATB_offset_deg,axis_angle_signed_deg,is_upwind,upwind_dist_remaining_m
2026-03-31T13:54:59+00:00,39.5068031642586,2.6683166809380054,153,2026-03-31T14:31:30.613739+00:00,2192,1,0.0,0.0,0.0,0.0,1,Start,1,50,39.5143911,2.680031,1312,50,355,55,17,-18.89671735621789,True,2676
2026-03-31T13:55:00+00:00,39.50682780705392,2.668318022042513,154,2026-03-31T14:31:30.613739+00:00,2192,1,2.743,2.743,164.58,2.404,1,Start,1,50,39.5143911,2.680031,1310,50,355,55,17,-18.89671735621789,True,2672
2026-03-31T13:55:01+00:00,39.5068472251296,2.66831420827657,154,2026-03-31T14:31:30.613739+00:00,2192,1,2.184,4.926,131.04,351.383,1,Start,1,50,39.5143911,2.680031,1309,50,354,56,18,-19.89671735621789,True,2756
2026-03-31T13:55:02+00:00,39.506866643205285,2.668310394510627,155,2026-03-31T14:31:30.613739+00:00,2192,1,2.184,7.11,131.04,351.383,1,Start,1,50,39.5143911,2.680031,1308,50,354,56,18,-19.89671735621789,True,2754
2026-03-31T13:55:03+00:00,39.506886061280966,2.6683065807446837,155,2026-03-31T14:31:30.613739+00:00,2192,1,2.184,9.294,131.04,351.383,1,Start,1,50,39.5143911,2.680031,1307,50,354,56,18,-19.89671735621789,True,2752
2026-03-31T13:55:04+00:00,39.50690547935665,2.6683027669787407,155,2026-03-31T14:31:30.613739+00:00,2192,1,2.184,11.478,131.04,351.383,1,Start,1,50,39.5143911,2.680031,1306,50,353,57,19,-20.89671735621789,True,2842
2026-03-31T13:55:05+00:00,39.50692489743233,2.6682989532127976,156,2026-03-31T14:31:30.613739+00:00,2192,1,2.184,13.662,131.04,351.383,1,Start,1,50,39.5143911,2.680031,1305,50,352,58,20,-21.89671735621789,True,2939
2026-03-31T13:55:06+00:00,39.50694431550801,2.6682951394468546,156,2026-03-31T14:31:30.613739+00:00,2192,1,2.184,15.846,131.04,351.383,1,Start,1,50,39.5143911,2.680031,1304,51,352,59,21,-21.89671735621789,True,2937
2026-03-31T13:55:07+00:00,39.50696824584156,2.6682915771380067,156,2026-03-31T14:31:30.613739+00:00,2192,1,2.678,18.524,160.68,353.448,1,Start,1,50,39.5143911,2.680031,1302,51,352,59,21,-21.89671735621789,True,2933
2026-03-31T13:55:08+00:00,39.50699217617512,2.668288014829159,157,2026-03-31T14:31:30.613739+00:00,2192,1,2.678,21.202,160.68,353.448,1,Start,1,50,39.5143911,2.680031,1301,51,352,59,21,-21.89671735621789,True,2930
