timestamp_utc,latitude,longitude,heart_rate,finish_time_utc,elapsed_race_time_s,finished_flag,seg_dist_m,dist_from_start_m,SOG_raw_mpm,COG_raw_deg,geom_leg_id,geom_from_mark,geom_to_mark,geom_leg_bearing_deg,target_lat_deg,target_lon_deg,dist_to_target_m,bearing_to_target_deg,COG_deg,ATB_angle_deg,ATB_offset_deg
2026-02-25T15:40:36+00:00,37.05886499024928,-8.127893535420299,131,2026-02-25T16:22:38.838148+00:00,2523,1,0.0,0.0,0.0,0.0,1,Start,1,163,37.0522195,-8.1244791,799,158,113,45,7
2026-02-25T15:40:37+00:00,37.058857614174485,-8.127871742472053,131,2026-02-25T16:22:38.838148+00:00,2523,1,2.101,2.101,126.06,112.983,1,Start,1,163,37.0522195,-8.1244791,797,158,118,40,2
2026-02-25T15:40:38+00:00,37.05884805880487,-8.1278520449996,133,2026-02-25T16:22:38.838148+00:00,2523,1,2.045,4.146,122.7,121.295,1,Start,1,163,37.0522195,-8.1244791,796,158,118,40,2
2026-02-25T15:40:39+00:00,37.058833222836256,-8.12783494591713,132,2026-02-25T16:22:38.838148+00:00,2523,1,2.241,6.387,134.46,137.394,1,Start,1,163,37.0522195,-8.1244791,793,158,119,39,1
2026-02-25T15:40:40+00:00,37.05881872214377,-8.127816757187247,134,2026-02-25T16:22:38.838148+00:00,2523,1,2.281,8.669,136.86,134.972,1,Start,1,163,37.0522195,-8.1244791,791,158,120,38,0
2026-02-25T15:40:41+00:00,37.058804389089346,-8.127798568457365,133,2026-02-25T16:22:38.838148+00:00,2523,1,2.268,10.937,136.08,134.639,1,Start,1,163,37.0522195,-8.1244791,789,158,125,33,-5
2026-02-25T15:40:42+00:00,37.05879441462457,-8.127777529880404,134,2026-02-25T16:22:38.838148+00:00,2523,1,2.171,13.109,130.26,120.715,1,Start,1,163,37.0522195,-8.1244791,788,158,125,33,-5
2026-02-25T15:40:43+00:00,37.05878745764494,-8.127762442454696,135,2026-02-25T16:22:38.838148+00:00,2523,1,1.546,14.655,92.76,120.02,1,Start,1,163,37.0522195,-8.1244791,786,158,125,33,-5
2026-02-25T15:40:44+00:00,37.05877622589469,-8.127743666991591,135,2026-02-25T16:22:38.838148+00:00,2523,1,2.082,16.737,124.92,126.856,1,Start,1,163,37.0522195,-8.1244791,785,158,125,33,-5
2026-02-25T15:40:45+00:00,37.05876633524895,-8.12772212550044,136,2026-02-25T16:22:38.838148+00:00,2523,1,2.205,18.942,132.3,119.914,1,Start,1,163,37.0522195,-8.1244791,783,158,125,33,-5
2026-02-25T15:40:46+00:00,37.058758456259966,-8.127700919285417,137,2026-02-25T16:22:38.838148+00:00,2523,1,2.076,21.018,124.56,114.966,1,Start,1,163,37.0522195,-8.1244791,781,159,124,35,-3
2026-02-25T15:40:47+00:00,37.05875191837549,-8.12768499366939,139,2026-02-25T16:22:38.838148+00:00,2523,1,1.589,22.607,95.34,117.223,1,Start,1,163,37.0522195,-8.1244791,780,159,123,36,-2
2026-02-25T15:40:48+00:00,37.058746134862304,-8.127673007547855,140,2026-02-25T16:22:38.838148+00:00,2523,1,1.243,23.85,74.58,121.159,1,Start,1,163,37.0522195,-8.1244791,779,159,124,35,-3
2026-02-25T15:40:49+00:00,37.05873381346464,-8.127659847959876,140,2026-02-25T16:22:38.838148+00:00,2523,1,1.8,25.65,108.0,139.559,1,Start,1,163,37.0522195,-8.1244791,777,159,123,36,-2
2026-02-25T15:40:50+00:00,37.05872107297182,-8.12764199450612,135,2026-02-25T16:22:38.838148+00:00,2523,1,2.125,27.775,127.5,131.804,1,Start,1,163,37.0522195,-8.1244791,776,159,121,38,0
2026-02-25T15:40:51+00:00,37.05870824865997,-8.127620117738843,133,2026-02-25T16:22:38.838148+00:00,2523,1,2.409,30.184,144.54,126.3,1,Start,1,163,37.0522195,-8.1244791,773,159,118,41,3
2026-02-25T15:40:52+00:00,37.05869810655713,-8.127598157152534,131,2026-02-25T16:22:38.838148+00:00,2523,1,2.251,32.436,135.06,120.059,1,Start,1,163,37.0522195,-8.1244791,772,159,119,40,2
2026-02-25T15:40:53+00:00,37.05869173631072,-8.127575358375907,132,2026-02-25T16:22:38.838148+00:00,2523,1,2.143,34.579,128.58,109.297,1,Start,1,163,37.0522195,-8.1244791,770,159,119,40,2
2026-02-25T15:40:54+00:00,37.05868519842625,-8.127554655075073,134,2026-02-25T16:22:38.838148+00:00,2523,1,1.976,36.555,118.56,111.59,1,Start,1,163,37.0522195,-8.1244791,769,159,117,42,4
2026-02-25T15:40:55+00:00,37.05868368968368,-8.127535963431,137,2026-02-25T16:22:38.838148+00:00,2523,1,1.667,38.222,100.02,95.776,1,Start,1,163,37.0522195,-8.1244791,768,159,116,43,5
2026-02-25T15:40:56+00:00,37.05867706798017,-8.127517523244023,138,2026-02-25T16:22:38.838148+00:00,2523,1,1.794,40.016,107.64,114.227,1,Start,1,163,37.0522195,-8.1244791,767,159,118,41,3
2026-02-25T15:40:57+00:00,37.05866784788668,-8.127496903762221,138,2026-02-25T16:22:38.838148+00:00,2523,1,2.097,42.114,125.82,119.263,1,Start,1,163,37.0522195,-8.1244791,765,160,120,40,2
2026-02-25T15:40:58+00:00,37.05865619704127,-8.12747485935688,137,2026-02-25T16:22:38.838148+00:00,2523,1,2.346,44.46,140.76,123.516,1,Start,1,163,37.0522195,-8.1244791,764,160,120,40,2
2026-02-25T15:40:59+00:00,37.05864479765296,-8.127454994246364,137,2026-02-25T16:22:38.838148+00:00,2523,1,2.171,46.631,130.26,125.719,1,Start,1,163,37.0522195,-8.1244791,762,160,123,37,-1
2026-02-25T15:41:00+00:00,37.05863364972174,-8.127440745010972,138,2026-02-25T16:22:38.838148+00:00,2523,1,1.771,48.402,106.26,134.432,1,Start,1,163,37.0522195,-8.1244791,760,160,126,34,-4
2026-02-25T15:41:01+00:00,37.05862417817116,-8.127426747232676,140,2026-02-25T16:22:38.838148+00:00,2523,1,1.629,50.03,97.74,130.295,1,Start,1,163,37.0522195,-8.1244791,759,160,127,33,-5
2026-02-25T15:41:02+00:00,37.058612359687686,-8.127411408349872,139,2026-02-25T16:22:38.838148+00:00,2523,1,1.892,51.922,113.52,133.995,1,Start,1,163,37.0522195,-8.1244791,757,160,127,33,-5
2026-02-25T15:41:03+00:00,37.05860557034612,-8.12739422544837,138,2026-02-25T16:22:38.838148+00:00,2523,1,1.701,53.624,102.06,116.341,1,Start,1,163,37.0522195,-8.1244791,756,160,128,32,-6
2026-02-25T15:41:04+00:00,37.05859006382525,-8.12737276777625,137,2026-02-25T16:22:38.838148+00:00,2523,1,2.569,56.192,154.14,132.163,1,Start,1,163,37.0522195,-8.1244791,753,160,128,32,-6
2026-02-25T15:41:05+00:00,37.05857782624662,-8.127351393923163,137,2026-02-25T16:22:38.838148+00:00,2523,1,2.334,58.527,140.04,125.658,1,Start,1,163,37.0522195,-8.1244791,752,160,126,34,-4
