timestamp_utc,latitude,longitude,heart_rate,finish_time_utc,elapsed_race_time_s,finished_flag,seg_dist_m,dist_from_start_m,SOG_raw_mpm,COG_raw_deg,geom_leg_id,geom_from_mark,geom_to_mark,geom_leg_bearing_deg,target_lat_deg,target_lon_deg,dist_to_target_m,bearing_to_target_deg,COG_deg,ATB_angle_deg,ATB_offset_deg,axis_angle_signed_deg,is_upwind,upwind_dist_remaining_m
2026-03-31T13:54:59+00:00,39.50721060857177,2.6678209751844406,118,2026-03-31T14:34:26.115603+00:00,2367,1,0.0,0.0,0.0,0.0,1,Start,1,50,39.5143911,2.680031,1317,53,359,54,16,-11.07750436019387,True,2229
2026-03-31T13:55:00+00:00,39.5072262827307,2.667823238298297,120,2026-03-31T14:34:26.115603+00:00,2367,1,1.754,1.754,105.24,6.357,1,Start,1,50,39.5143911,2.680031,1316,53,359,54,16,-11.07750436019387,True,2227
2026-03-31T13:55:01+00:00,39.507248075678945,2.667821478098631,121,2026-03-31T14:34:26.115603+00:00,2367,1,2.428,4.182,145.68,356.434,1,Start,1,50,39.5143911,2.680031,1315,53,0,53,15,-10.07750436019387,True,2174
2026-03-31T13:55:02+00:00,39.50727213174105,2.667817622423172,120,2026-03-31T14:34:26.115603+00:00,2367,1,2.695,6.877,161.7,352.95,1,Start,1,50,39.5143911,2.680031,1313,53,1,52,14,-9.07750436019387,True,2122
2026-03-31T13:55:03+00:00,39.5072934217751,2.6678177062422037,119,2026-03-31T14:34:26.115603+00:00,2367,1,2.367,9.244,142.02,0.174,1,Start,1,50,39.5143911,2.680031,1312,53,2,51,13,-8.07750436019387,True,2075
2026-03-31T13:55:04+00:00,39.50731638818979,2.6678209751844406,121,2026-03-31T14:34:26.115603+00:00,2367,1,2.569,11.813,154.14,6.267,1,Start,1,50,39.5143911,2.680031,1310,53,2,51,13,-8.07750436019387,True,2072
2026-03-31T13:55:05+00:00,39.507341952994466,2.6678249146789312,123,2026-03-31T14:34:26.115603+00:00,2367,1,2.863,14.676,171.78,6.78,1,Start,1,50,39.5143911,2.680031,1308,53,3,50,12,-7.0775043601938705,True,2026
2026-03-31T13:55:06+00:00,39.50736600905657,2.667827596887946,124,2026-03-31T14:34:26.115603+00:00,2367,1,2.685,17.361,161.1,4.917,1,Start,1,50,39.5143911,2.680031,1306,53,5,48,10,-5.0775043601938705,True,1944
2026-03-31T13:55:07+00:00,39.50738939456642,2.667829943820834,125,2026-03-31T14:34:26.115603+00:00,2367,1,2.608,19.969,156.48,4.428,1,Start,1,50,39.5143911,2.680031,1304,53,5,48,10,-5.0775043601938705,True,1941
2026-03-31T13:55:08+00:00,39.507410265505314,2.6678306981921196,127,2026-03-31T14:34:26.115603+00:00,2367,1,2.322,22.291,139.32,1.597,1,Start,1,50,39.5143911,2.680031,1303,53,5,48,10,-5.0775043601938705,True,1939
2026-03-31T13:55:09+00:00,39.50743113644421,2.6678345538675785,127,2026-03-31T14:34:26.115603+00:00,2367,1,2.344,24.635,140.64,8.112,1,Start,1,50,39.5143911,2.680031,1301,54,4,50,12,-6.0775043601938705,True,1975
2026-03-31T13:55:10+00:00,39.50745544396341,2.6678375713527203,129,2026-03-31T14:34:26.115603+00:00,2367,1,2.715,27.35,162.9,5.471,1,Start,1,50,39.5143911,2.680031,1300,54,4,50,12,-6.0775043601938705,True,1973
2026-03-31T13:55:11+00:00,39.50747790746391,2.6678378228098154,131,2026-03-31T14:34:26.115603+00:00,2367,1,2.498,29.848,149.88,0.495,1,Start,1,50,39.5143911,2.680031,1298,54,4,50,12,-6.0775043601938705,True,1970
2026-03-31T13:55:12+00:00,39.50750104151666,2.667838577181101,132,2026-03-31T14:34:26.115603+00:00,2367,1,2.573,32.421,154.38,1.441,1,Start,1,50,39.5143911,2.680031,1297,54,2,52,14,-8.07750436019387,True,2051
2026-03-31T13:55:13+00:00,39.50752518139779,2.667842013761401,131,2026-03-31T14:34:26.115603+00:00,2367,1,2.7,35.122,162.0,6.268,1,Start,1,50,39.5143911,2.680031,1295,54,1,53,15,-9.07750436019387,True,2093
2026-03-31T13:55:14+00:00,39.5075489860028,2.667843187227845,132,2026-03-31T14:34:26.115603+00:00,2367,1,2.649,37.77,158.94,2.178,1,Start,1,50,39.5143911,2.680031,1293,54,0,54,16,-10.07750436019387,True,2138
2026-03-31T13:55:15+00:00,39.50757044367492,2.6678416784852743,133,2026-03-31T14:34:26.115603+00:00,2367,1,2.389,40.16,143.34,356.895,1,Start,1,50,39.5143911,2.680031,1292,54,0,54,16,-10.07750436019387,True,2136
2026-03-31T13:55:16+00:00,39.50758779421449,2.6678412593901157,133,2026-03-31T14:34:26.115603+00:00,2367,1,1.93,42.09,115.8,358.932,1,Start,1,50,39.5143911,2.680031,1291,54,0,54,16,-10.07750436019387,True,2135
2026-03-31T13:55:17+00:00,39.50760941952467,2.6678410917520523,131,2026-03-31T14:34:26.115603+00:00,2367,1,2.405,44.494,144.3,359.657,1,Start,1,50,39.5143911,2.680031,1289,54,0,54,16,-10.07750436019387,True,2131
2026-03-31T13:55:18+00:00,39.50762995518744,2.66784000210464,132,2026-03-31T14:34:26.115603+00:00,2367,1,2.285,46.78,137.1,357.656,1,Start,1,50,39.5143911,2.680031,1288,54,0,54,16,-10.07750436019387,True,2130
2026-03-31T13:55:19+00:00,39.50765375979245,2.667838996276259,133,2026-03-31T14:34:26.115603+00:00,2367,1,2.648,49.428,158.88,358.133,1,Start,1,50,39.5143911,2.680031,1287,54,0,54,16,-10.07750436019387,True,2128
2026-03-31T13:55:20+00:00,39.507677061483264,2.6678404211997986,134,2026-03-31T14:34:26.115603+00:00,2367,1,2.594,52.022,155.64,2.701,1,Start,1,50,39.5143911,2.680031,1285,54,1,53,15,-9.07750436019387,True,2077
2026-03-31T13:55:21+00:00,39.507699608802795,2.667843271046877,134,2026-03-31T14:34:26.115603+00:00,2367,1,2.519,54.541,151.14,5.57,1,Start,1,50,39.5143911,2.680031,1283,55,3,52,14,-7.0775043601938705,True,1987
2026-03-31T13:55:22+00:00,39.5077493134886,2.667850311845541,135,2026-03-31T14:34:26.115603+00:00,2367,1,5.56,60.101,333.6,6.237,1,Start,1,50,39.5143911,2.680031,1280,55,5,50,12,-5.0775043601938705,True,1905
2026-03-31T13:55:23+00:00,39.50777010060847,2.667853245511651,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.325,62.426,139.5,6.214,1,Start,1,50,39.5143911,2.680031,1278,55,5,50,12,-5.0775043601938705,True,1902
2026-03-31T13:55:24+00:00,39.50778870843351,2.6678554248064756,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.078,64.503,124.68,5.163,1,Start,1,50,39.5143911,2.680031,1277,55,5,50,12,-5.0775043601938705,True,1901
2026-03-31T13:55:25+00:00,39.50781066901982,2.667859112843871,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.462,66.966,147.72,7.383,1,Start,1,50,39.5143911,2.680031,1275,55,5,50,12,-5.0775043601938705,True,1898
2026-03-31T13:55:26+00:00,39.507833970710635,2.667860286310315,136,2026-03-31T14:34:26.115603+00:00,2367,1,2.593,69.559,155.58,2.225,1,Start,1,50,39.5143911,2.680031,1273,55,6,49,11,-4.0775043601938705,True,1859
2026-03-31T13:55:27+00:00,39.50785961933434,2.667861375957727,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.854,72.412,171.24,1.877,1,Start,1,50,39.5143911,2.680031,1272,55,8,47,9,-2.0775043601938705,True,1792
2026-03-31T13:55:28+00:00,39.507885267958045,2.667866740375757,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.889,75.301,173.34,9.167,1,Start,1,50,39.5143911,2.680031,1270,55,8,47,9,-2.0775043601938705,True,1789
2026-03-31T13:55:29+00:00,39.50790706090629,2.6678731106221676,135,2026-03-31T14:34:26.115603+00:00,2367,1,2.484,77.785,149.04,12.709,1,Start,1,50,39.5143911,2.680031,1268,55,7,48,10,-3.0775043601938705,True,1818
2026-03-31T13:55:30+00:00,39.50792608782649,2.6678793970495462,136,2026-03-31T14:34:26.115603+00:00,2367,1,2.183,79.969,130.98,14.301,1,Start,1,50,39.5143911,2.680031,1266,55,8,47,9,-2.0775043601938705,True,1784
2026-03-31T13:55:31+00:00,39.50794603675604,2.6678845938295126,136,2026-03-31T14:34:26.115603+00:00,2367,1,2.263,82.231,135.78,11.364,1,Start,1,50,39.5143911,2.680031,1265,55,7,48,10,-3.0775043601938705,True,1814
2026-03-31T13:55:32+00:00,39.50796615332365,2.667887192219496,136,2026-03-31T14:34:26.115603+00:00,2367,1,2.248,84.479,134.88,5.691,1,Start,1,50,39.5143911,2.680031,1263,56,8,48,10,-2.0775043601938705,True,1779
2026-03-31T13:55:33+00:00,39.50798828154802,2.6678881980478764,136,2026-03-31T14:34:26.115603+00:00,2367,1,2.462,86.941,147.72,2.009,1,Start,1,50,39.5143911,2.680031,1262,56,8,48,10,-2.0775043601938705,True,1778
2026-03-31T13:55:34+00:00,39.50801066122949,2.6678897067904472,138,2026-03-31T14:34:26.115603+00:00,2367,1,2.492,89.433,149.52,2.977,1,Start,1,50,39.5143911,2.680031,1260,56,9,47,9,-1.0775043601938705,True,1745
2026-03-31T13:55:35+00:00,39.50803371146321,2.6678932271897793,139,2026-03-31T14:34:26.115603+00:00,2367,1,2.581,92.014,154.86,6.72,1,Start,1,50,39.5143911,2.680031,1259,56,9,47,9,-1.0775043601938705,True,1744
2026-03-31T13:55:36+00:00,39.50805709697306,2.6678980886936188,140,2026-03-31T14:34:26.115603+00:00,2367,1,2.634,94.647,158.04,9.112,1,Start,1,50,39.5143911,2.680031,1257,56,9,47,9,-1.0775043601938705,True,1741
2026-03-31T13:55:37+00:00,39.50807838700712,2.6679035369306803,141,2026-03-31T14:34:26.115603+00:00,2367,1,2.413,97.06,144.78,11.169,1,Start,1,50,39.5143911,2.680031,1255,56,10,46,8,-0.07750436019387053,True,1710
2026-03-31T13:55:38+00:00,39.508098838850856,2.667910996824503,140,2026-03-31T14:34:26.115603+00:00,2367,1,2.362,99.423,141.72,15.718,1,Start,1,50,39.5143911,2.680031,1253,56,10,46,8,-0.07750436019387053,True,1707
2026-03-31T13:55:39+00:00,39.50812130235136,2.6679175347089767,140,2026-03-31T14:34:26.115603+00:00,2367,1,2.56,101.983,153.6,12.656,1,Start,1,50,39.5143911,2.680031,1251,56,10,46,8,-0.07750436019387053,True,1705
2026-03-31T13:55:40+00:00,39.50814225710928,2.667923318222165,139,2026-03-31T14:34:26.115603+00:00,2367,1,2.382,104.365,142.92,12.021,1,Start,1,50,39.5143911,2.680031,1250,56,11,45,7,-0.9224956398061437,True,1727
2026-03-31T13:55:41+00:00,39.50816270895302,2.667927341535687,139,2026-03-31T14:34:26.115603+00:00,2367,1,2.3,106.665,138.0,8.63,1,Start,1,50,39.5143911,2.680031,1248,56,11,45,7,-0.9224956398061437,True,1724
2026-03-31T13:55:42+00:00,39.50818374752998,2.667931616306305,139,2026-03-31T14:34:26.115603+00:00,2367,1,2.368,109.033,142.08,8.91,1,Start,1,50,39.5143911,2.680031,1247,56,11,45,7,-0.9224956398061437,True,1723
2026-03-31T13:55:43+00:00,39.50820554047823,2.6679349690675735,139,2026-03-31T14:34:26.115603+00:00,2367,1,2.44,111.474,146.4,6.769,1,Start,1,50,39.5143911,2.680031,1245,56,10,46,8,-0.07750436019387053,True,1696
2026-03-31T13:55:44+00:00,39.50823135674,2.6679411716759205,140,2026-03-31T14:34:26.115603+00:00,2367,1,2.92,114.393,175.2,10.502,1,Start,1,50,39.5143911,2.680031,1243,57,9,48,10,-1.0775043601938705,True,1722
2026-03-31T13:55:45+00:00,39.508258095011115,2.6679478771984577,141,2026-03-31T14:34:26.115603+00:00,2367,1,3.028,117.422,181.68,10.951,1,Start,1,50,39.5143911,2.680031,1241,57,9,48,10,-1.0775043601938705,True,1719
2026-03-31T13:55:46+00:00,39.50828148052096,2.667952235788107,143,2026-03-31T14:34:26.115603+00:00,2367,1,2.627,120.049,157.62,8.183,1,Start,1,50,39.5143911,2.680031,1239,57,8,49,11,-2.0775043601938705,True,1746
2026-03-31T13:55:47+00:00,39.50830386020243,2.6679576002061367,144,2026-03-31T14:34:26.115603+00:00,2367,1,2.531,122.579,151.86,10.478,1,Start,1,50,39.5143911,2.680031,1237,57,7,50,12,-3.0775043601938705,True,1774
2026-03-31T13:55:48+00:00,39.50832615606487,2.6679608691483736,144,2026-03-31T14:34:26.115603+00:00,2367,1,2.495,125.074,149.7,6.454,1,Start,1,50,39.5143911,2.680031,1236,57,6,51,13,-4.0775043601938705,True,1805
2026-03-31T13:55:49+00:00,39.50834744609893,2.667963383719325,144,2026-03-31T14:34:26.115603+00:00,2367,1,2.377,127.451,142.62,5.207,1,Start,1,50,39.5143911,2.680031,1234,57,6,51,13,-4.0775043601938705,True,1802
2026-03-31T13:55:50+00:00,39.50836840085685,2.6679647248238325,144,2026-03-31T14:34:26.115603+00:00,2367,1,2.333,129.784,139.98,2.827,1,Start,1,50,39.5143911,2.680031,1233,57,6,51,13,-4.0775043601938705,True,1801
2026-03-31T13:55:51+00:00,39.508391451090574,2.667963718995452,145,2026-03-31T14:34:26.115603+00:00,2367,1,2.565,132.349,153.9,358.072,1,Start,1,50,39.5143911,2.680031,1232,57,7,50,12,-3.0775043601938705,True,1767
2026-03-31T13:55:52+00:00,39.50841316021979,2.667965730652213,145,2026-03-31T14:34:26.115603+00:00,2367,1,2.42,134.769,145.2,4.089,1,Start,1,50,39.5143911,2.680031,1230,57,7,50,12,-3.0775043601938705,True,1764
2026-03-31T13:55:53+00:00,39.50843428261578,2.667970424517989,145,2026-03-31T14:34:26.115603+00:00,2367,1,2.383,137.152,142.98,9.729,1,Start,1,50,39.5143911,2.680031,1228,57,7,50,12,-3.0775043601938705,True,1761
2026-03-31T13:55:54+00:00,39.50845766812563,2.6679764594882727,146,2026-03-31T14:34:26.115603+00:00,2367,1,2.651,139.803,159.06,11.261,1,Start,1,50,39.5143911,2.680031,1227,57,9,48,10,-1.0775043601938705,True,1700
2026-03-31T13:55:55+00:00,39.50847837142646,2.6679833326488733,146,2026-03-31T14:34:26.115603+00:00,2367,1,2.376,142.18,142.56,14.367,1,Start,1,50,39.5143911,2.680031,1225,58,10,48,10,-0.07750436019387053,True,1669
2026-03-31T13:55:56+00:00,39.50850427150726,2.6679912954568863,146,2026-03-31T14:34:26.115603+00:00,2367,1,2.96,145.14,177.6,13.344,1,Start,1,50,39.5143911,2.680031,1223,58,12,46,8,-1.9224956398061437,True,1718
2026-03-31T13:55:57+00:00,39.50852790847421,2.6679980847984552,147,2026-03-31T14:34:26.115603+00:00,2367,1,2.692,147.832,161.52,12.495,1,Start,1,50,39.5143911,2.680031,1221,58,12,46,8,-1.9224956398061437,True,1716
2026-03-31T13:55:58+00:00,39.50855364091694,2.6680061314255,147,2026-03-31T14:34:26.115603+00:00,2367,1,2.943,150.775,176.58,13.564,1,Start,1,50,39.5143911,2.680031,1219,58,12,46,8,-1.9224956398061437,True,1713
2026-03-31T13:55:59+00:00,39.50857987627387,2.668012836948037,148,2026-03-31T14:34:26.115603+00:00,2367,1,2.973,153.749,178.38,11.155,1,Start,1,50,39.5143911,2.680031,1217,58,11,47,9,-0.9224956398061437,True,1681
2026-03-31T13:56:00+00:00,39.508603597059846,2.6680188719183207,149,2026-03-31T14:34:26.115603+00:00,2367,1,2.688,156.437,161.28,11.105,1,Start,1,50,39.5143911,2.680031,1215,58,10,48,10,-0.07750436019387053,True,1655
2026-03-31T13:56:01+00:00,39.508627066388726,2.6680218894034624,149,2026-03-31T14:34:26.115603+00:00,2367,1,2.622,159.059,157.32,5.665,1,Start,1,50,39.5143911,2.680031,1213,58,10,48,10,-0.07750436019387053,True,1653
2026-03-31T13:56:02+00:00,39.50864911079407,2.6680259127169847,150,2026-03-31T14:34:26.115603+00:00,2367,1,2.475,161.534,148.5,8.015,1,Start,1,50,39.5143911,2.680031,1212,58,9,49,11,-1.0775043601938705,True,1679
2026-03-31T13:56:03+00:00,39.50867417268455,2.6680318638682365,150,2026-03-31T14:34:26.115603+00:00,2367,1,2.833,164.368,169.98,10.382,1,Start,1,50,39.5143911,2.680031,1210,58,9,49,11,-1.0775043601938705,True,1676
2026-03-31T13:56:04+00:00,39.508697809651494,2.668038234114647,149,2026-03-31T14:34:26.115603+00:00,2367,1,2.685,167.052,161.1,11.746,1,Start,1,50,39.5143911,2.680031,1208,58,9,49,11,-1.0775043601938705,True,1673
2026-03-31T13:56:05+00:00,39.50871826149523,2.6680418383330107,150,2026-03-31T14:34:26.115603+00:00,2367,1,2.295,169.347,137.7,7.743,1,Start,1,50,39.5143911,2.680031,1207,58,9,49,11,-1.0775043601938705,True,1672
2026-03-31T13:56:06+00:00,39.50873971916735,2.6680459454655647,149,2026-03-31T14:34:26.115603+00:00,2367,1,2.412,171.759,144.72,8.4,1,Start,1,50,39.5143911,2.680031,1205,59,10,49,11,-0.07750436019387053,True,1642
2026-03-31T13:56:07+00:00,39.50876050628722,2.6680507231503725,149,2026-03-31T14:34:26.115603+00:00,2367,1,2.347,174.106,140.82,10.056,1,Start,1,50,39.5143911,2.680031,1203,59,10,49,11,-0.07750436019387053,True,1639
